Token,Holder,Month 0,Month 1 ,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12,Month 13,Month 14,Month 15,Month 16,Month 17,Month 18,Month 19,Month 20,Month 21,Month 22,Month 23,Month 24,Month 25,Month 26,Month 27,Month 28,Month 29,Month 30,Month 31,Month 32,Month 33,Month 34,Month 35,Month 36
HIGH,PRIVATE SALE,0,0,2.05,2.05,2.05,4.11,4.11,4.11,6.16,6.16,6.16,8.21,8.21,8.21,10.26,10.26,10.26,12.32,12.32,12.32,14.37,14.37,14.37,16.42,16.42,16.42,18.47,18.47,18.47,20.53,20.53,20.53,22.58,22.58,22.58,24.63,24.63
HIGH,PUBLIC SALE,1.25,1.25,1.25,1.25,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
HIGH,LAUNCHPOOL,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HIGH,PLAY TO EARN ,0,0,0,0.31,0.63,0.94,1.25,1.56,1.88,2.19,2.5,2.81,3.13,3.44,3.75,4.06,4.38,4.69,5,5.31,5.63,5.94,6.25,6.56,6.88,7.19,7.5,7.81,8.13,8.44,8.75,9.06,9.38,9.69,10,10.31,10.63
HIGH,TREASURY,0,0,2,2,2,2,2,2,2,2,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.85,3.59,3.59,3.59,3.59,3.59,3.59,3.59,3.59,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,5.18,5.18,5.18
HIGH,ECOSYSTEM RESERVES,0,0,3.5,3.5,3.5,3.5,3.5,3.5,3.88,3.88,3.88,3.88,3.88,3.88,4.25,4.25,4.25,4.25,4.25,4.25,4.63,4.63,4.63,4.63,4.63,4.63,5,5,5,5,5,5,5.38,5.38,5.38,5.38,5.38
HIGH,MARKETING & PARTNERSHIP,0,0,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
HIGH,TEAM,0,0,0,0,0,0,0,0.67,0.67,0.67,0.67,0.67,0.67,1.33,1.33,1.33,1.33,1.33,1.33,2,2,2,2,2,2,2.67,2.67,2.67,2.67,2.67,2.67,3.33,3.33,3.33,3.33,3.33,3.33
HIGH,ADVISORS,0,0,0,0,0,0,0,0.17,0.17,0.17,0.17,0.17,0.17,0.33,0.33,0.33,0.33,0.33,0.33,0.5,0.5,0.5,0.5,0.5,0.5,0.67,0.67,0.67,0.67,0.67,0.67,0.83,0.83,0.83,0.83,0.83,0.83
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LINA,SEED SALE,0.2,0.4,0.6,0.8,1,1.2,1.4,1.6,1.8,2,2.2,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4
LINA,PRIVATE SALE 1 ,0.93,1.17,1.4,1.63,1.87,2.1,2.33,2.57,2.8,3.03,3.27,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
LINA,PRIVATE SALE 2,0.89,1.24,1.6,1.96,2.31,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67
LINA,PRIVATE SALE 3,0.27,0.37,0.48,0.59,0.69,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
LINA,PUBLIC SALE,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63
LINA,TEAM,0,0,0,0,0,1.25,1.25,1.25,2.5,2.5,2.5,3.75,3.75,3.75,5,5,5,6.25,6.25,6.25,7.5,7.5,7.5,8.75,8.75,8.75,8.75,10,10,10,10,10,10,10,10,10,10
LINA,ADVISORS,0,0,0,0,0,0.63,0.63,0.69,1.25,1.25,1.25,1.88,1.88,1.88,2.5,2.5,2.5,3.13,3.13,3.13,3.75,3.75,3.75,4.38,4.38,4.38,4.38,5,5,5,5,5,5,5,5,5,5
LINA,EXCHANGE LIQUIDITY ALLOCATION,0.24,0.37,0.51,0.64,0.78,0.92,1.05,1.19,1.33,1.46,1.6,1.73,1.87,2.01,2.14,2.28,2.41,2.55,2.69,2.82,2.96,3.09,3.23,3.37,3.37,3.5,3.64,3.78,3.91,4.05,4.18,4.32,4.46,4.59,4.73,4.86,5
LINA,ECOSYSTEM,0.36,0.53,0.69,0.85,1.02,1.18,1.34,1.51,1.67,1.83,2,2.16,2.32,2.49,2.65,2.81,2.98,3.14,3.3,3.47,3.63,3.79,3.96,4.12,4.12,4.28,4.45,4.61,4.77,4.94,5.1,5.26,5.43,5.59,5.75,5.92,6.08
LINA,COMMUNITY,0.33,0.41,0.49,0.57,0.65,0.72,0.8,0.88,0.96,1.04,1.12,1.2,1.28,1.36,1.44,1.52,1.6,1.67,1.75,1.83,1.91,1.99,2.07,2.15,2.15,2.23,2.31,2.39,2.47,2.55,2.62,2.7,2.78,2.86,2.94,3.02,3.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAR,LAUNCHPOOL,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
DAR,PANCAKESWAP IFO,,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
DAR,PRIVATE SALE,,0.9,0.9,0.9,1.8,1.8,1.8,2.7,2.7,2.7,3.6,3.6,3.6,4.5,4.5,4.5,5.4,5.4,5.4,6.3,6.3,6.3,7.2,7.2,7.2,8.1,8.1,8.1,9,9,9,9.9,9.9,9.9,10.8,10.8,10.8
