DATA,,,,,,,,
key,data,,,,,,,
token_name,Oxygen,,,,,,,
token_symbol,OXY,,,,,,,
start_date,01/12/2021,,,,,,,
start_tokens,10000000000,,,,,,,
emission_schedule,1D,,,,,,,
emission_type,linear_unlock,,,,,,,
emission_incentive,,,,,,,,
DISTRIBUTION,,,,,,,,
entity,Community Fund,Team,Serum Ecosystem Incentives,Maps Ecosystem Incentives,Product and Tech Growth,Private Sale,IEO,Partners
type,percentage,percentage,percentage,percentage,percentage,percentage,percentage,percentage
group,community,team,community,community,team,investors,public,team
emission,unlock,unlock,unlock,unlock,unlock,unlock,unlock,unlock
t207,0,0,1.5,0,8.5,0,2,0.00
t208,0,0,1.5,0,8.5,0,2,0.00
t209,0,0,1.5,0,8.5,0,2,0.00
t210,0,0,1.5,0,8.5,0,2,0.00
t211,0,0,1.5,0,8.5,0,2,0.00
t212,0,0,1.5,0,8.5,0,2,0.00
t213,0,0,1.5,0,8.5,0,2,0.00
t214,0,0,1.5,0,8.5,0,2,0.00
t215,0,0,1.5,0,8.5,0,2,0.00
t216,0,0,1.5,0,8.5,0,2,0.00
t217,0,0,1.5,0,8.5,0,2,0.00
t218,0,0,1.5,0,8.5,0,2,0.00
t219,0,0,1.5,0,8.5,0,2,0.00
t220,0,0,1.5,0,8.5,0,2,0.00
t221,0,0,1.5,0,8.5,0,2,0.00
t222,0,0,1.5,0,8.5,0,2,0.00
t223,0,0,1.5,0,8.5,0,2,0.00
t224,0,0,1.5,0,8.5,0,2,0.00
t225,0,0,1.5,0,8.5,0,2,0.00
t226,0,0,1.5,0,8.5,0,2,0.00
t227,0,0,1.5,0,8.5,0,2,0.00
t228,0,0,1.5,0,8.5,0,2,0.00
t229,0,0,1.5,0,8.5,0,2,0.00
t230,0,0,1.5,0,8.5,0,2,0.00
t231,0,0,1.5,0,8.5,0,2,0.00
t232,0,0,1.5,0,8.5,0,2,0.00
t233,0,0,1.5,0,8.5,0,2,0.00
t234,0,0,1.5,0,8.5,0,2,0.00
t235,0,0,1.5,0,8.5,0,2,0.00
t236,0,0,1.5,0,8.5,0,2,0.00
t237,0,0,1.5,0,8.5,0,2,0.00
t238,0,0,1.5,0,8.5,0,2,0.00
t239,0,0,1.5,0,8.5,0,2,0.00
t240,0,0,1.5,0,8.5,0,2,0.00
t241,0,0,1.5,0,8.5,0,2,0.00
t242,0,0,1.5,0,8.5,0,2,0.00
t243,0,0,1.5,0,8.5,0,2,0.00
t244,0,0,1.5,0,8.5,0,2,0.00
t245,0,0,1.5,0,8.5,0,2,0.00
t246,0,0,1.5,0,8.5,0,2,0.00
t247,0,0,1.5,0,8.5,0,2,0.00
t248,0,0,1.5,0,8.5,0,2,0.00
t249,0,0,1.5,0,8.5,0,2,0.00
t250,0,0,1.5,0,8.5,0,2,0.00
t251,0,0,1.5,0,8.5,0,2,0.00
t252,0,0,1.5,0,8.5,0,2,0.00
t253,0,0,1.5,0,8.5,0,2,0.00
t254,0,0,1.5,0,8.5,0,2,0.00
t255,0,0,1.5,0,8.5,0,2,0.00
t256,0,0,1.5,0,8.5,0,2,0.00
t257,0,0,1.5,0,8.5,0,2,0.00
t258,0,0,1.5,0,8.5,0,2,0.00
t259,0,0,1.5,0,8.5,0,2,0.00
t260,0,0,1.5,0,8.5,0,2,0.00
t261,0,0,1.5,0,8.5,0,2,0.00
t262,0,0,1.5,0,8.5,0,2,0.00
t263,0,0,1.5,0,8.5,0,2,0.00
t264,0,0,1.5,0,8.5,0,2,0.00
t265,0,0,1.5,0,8.5,0,2,0.00
t266,0,0,1.5,0,8.5,0,2,0.00
t267,0,0,1.5,0,8.5,0,2,0.00
t268,0,0,1.5,0,8.5,0,2,0.00
t269,0,0,1.5,0,8.5,0,2,0.00
t270,0,0,1.5,0,8.5,0,2,0.00
t271,0,0,1.5,0,8.5,0,2,0.00
t272,0,0,1.5,0,8.5,0,2,0.00
t273,0,0,1.5,0,8.5,0,2,0.00
t274,0,0,1.5,0,8.5,0,2,0.00
t275,0,0,1.5,0,8.5,0,2,0.00
t276,0,0,1.5,0,8.5,0,2,0.00
t277,0,0,1.5,0,8.5,0,2,0.00
t278,0,0,1.5,0,8.5,0,2,0.00
t279,0,0,1.5,0,8.5,0,2,0.00
t280,0,0,1.5,0,8.5,0,2,0.00
t281,0,0,1.5,0,8.5,0,2,0.00
t282,0,0,1.5,0,8.5,0,2,0.00
t283,0,0,1.5,0,8.5,0,2,0.00
t284,0,0,1.5,0,8.5,0,2,0.00
t285,0,0,1.5,0,8.5,0,2,0.00
t286,0,0,1.5,0,8.5,0,2,0.00
t287,0,0,1.5,0,8.5,0,2,0.00
t288,0,0,1.5,0,8.5,0,2,0.00
t289,0,0,1.5,0,8.5,0,2,0.00
t290,0,0,1.5,0,8.5,0,2,0.00
t291,0,0,1.5,0,8.5,0,2,0.00
t292,0,0,1.5,0,8.5,0,2,0.00
t293,0,0,1.5,0,8.5,0,2,0.00
t294,0,0,1.5,0,8.5,0,2,0.00
t295,0,0,1.5,0,8.5,0,2,0.00
t296,0,0,1.5,0,8.5,0,2,0.00
t297,0,0,1.5,0,8.5,0,2,0.00
t298,0,0,1.5,0,8.5,0,2,0.00
t299,0,0,1.5,0,8.5,0,2,0.00
t300,0,0,1.5,0,8.5,0,2,0.00
t301,0,0,1.5,0,8.5,0,2,0.00
t302,0,0,1.5,0,8.5,0,2,0.00
t303,0,0,1.5,0,8.5,0,2,0.00
t304,0,0,1.5,0,8.5,0,2,0.00
t305,0,0,1.5,0,8.5,0,2,0.00
t306,0,0,1.5,0,8.5,0,2,0.00
t307,0,0,1.5,0,8.5,0,2,0.00
t308,0,0,1.5,0,8.5,0,2,0.00
t309,0,0,1.5,0,8.5,0,2,0.00
t310,0,0,1.5,0,8.5,0,2,0.00
t311,0,0,1.5,0,8.5,0,2,0.00
t312,0,0,1.5,0,8.5,0,2,0.00
t313,0,0,1.5,0,8.5,0,2,0.00
t314,0,0,1.5,0,8.5,0,2,0.00
t315,0,0,1.5,0,8.5,0,2,0.00
t316,0,0,1.5,0,8.5,0,2,0.00
t317,0,0,1.5,0,8.5,0,2,0.00
t318,0,0,1.5,0,8.5,0,2,0.00
t319,0,0,1.5,0,8.5,0,2,0.00
t320,0,0,1.5,0,8.5,0,2,0.00
t321,0,0,1.5,0,8.5,0,2,0.00
