DATA,,,,
key,data,,,,,
token_name,Genopets,,,
token_symbol,GENE,,,
start_date,19/11/2021,,,
start_tokens,100000000,,,
emission_schedule,1D,,,
emission_type,linear_unlock,,,
emission_incentive,,,,
DISTRIBUTION,,,,
entity,private sale,public sale,team & advisors,community treasure and P2E
type,percentage,percentage,percentage,percentage
group,investors,public,team,community
emission,unlock,unlock,unlock,unlock
allocation,32.5,1.5,25,41
t306,0.00,1.50,0.00,8.54
t307,0.00,1.50,0.00,8.56
t308,0.00,1.50,0.00,8.58
t309,0.00,1.50,0.00,8.60
t310,0.00,1.50,0.00,8.62
t311,0.00,1.50,0.00,8.64
t312,0.00,1.50,0.00,8.66
t313,0.00,1.50,0.00,8.69
t314,0.00,1.50,0.00,8.71
t315,0.00,1.50,0.00,8.73
t316,0.00,1.50,0.00,8.75
t317,0.00,1.50,0.00,8.77
t318,0.00,1.50,0.00,8.79
t319,0.00,1.50,0.00,8.81
t320,0.00,1.50,0.00,8.83
t321,0.00,1.50,0.00,8.86
t322,0.00,1.50,0.00,8.88
t323,0.00,1.50,0.00,8.90
t324,0.00,1.50,0.00,8.92
t325,0.00,1.50,0.00,8.94
t326,0.00,1.50,0.00,8.96
t327,0.00,1.50,0.00,8.98
t328,0.00,1.50,0.00,9.01
t329,0.00,1.50,0.00,9.03
t330,0.00,1.50,0.00,9.05
t331,0.00,1.50,0.00,9.07
t332,0.00,1.50,0.00,9.09
t333,0.00,1.50,0.00,9.11
t334,0.00,1.50,0.00,9.13
t335,0.00,1.50,0.00,9.15
t336,0.00,1.50,0.00,9.18
t337,0.00,1.50,0.00,9.20
t338,0.00,1.50,0.00,9.22
t339,0.00,1.50,0.00,9.24
t340,0.00,1.50,0.00,9.26
t341,0.00,1.50,0.00,9.28
t342,0.00,1.50,0.00,9.30
t343,0.00,1.50,0.00,9.33
t344,0.00,1.50,0.00,9.35
t345,0.00,1.50,0.00,9.37
t346,0.00,1.50,0.00,9.39
t347,0.00,1.50,0.00,9.41
t348,0.00,1.50,0.00,9.43
t349,0.00,1.50,0.00,9.45
t350,0.00,1.50,0.00,9.48
t351,0.00,1.50,0.00,9.50
t352,0.00,1.50,0.00,9.52
t353,0.00,1.50,0.00,9.54
t354,0.00,1.50,0.00,9.56
t355,0.00,1.50,0.00,9.58
t356,0.00,1.50,0.00,9.60
t357,0.00,1.50,0.00,9.62
t358,0.00,1.50,0.00,9.65
t359,0.00,1.50,0.00,9.67
t360,0.00,1.50,0.00,9.69
t361,0.00,1.50,0.00,9.71
t362,0.00,1.50,0.00,9.73
t363,0.00,1.50,0.00,9.75
t364,0.00,1.50,0.00,9.77
t365,0.00,1.50,0.00,9.80
t366,0.09,1.50,0.02,9.82
t367,0.18,1.50,0.05,9.84
t368,0.27,1.50,0.07,9.86
t369,0.36,1.50,0.09,9.88
t370,0.45,1.50,0.11,9.90
t371,0.53,1.50,0.14,9.92
t372,0.62,1.50,0.16,9.95
t373,0.71,1.50,0.18,9.97
t374,0.80,1.50,0.21,9.99
t375,0.89,1.50,0.23,10.01
t376,0.98,1.50,0.25,10.03
t377,1.07,1.50,0.27,10.05
t378,1.16,1.50,0.30,10.07
t379,1.25,1.50,0.32,10.09
t380,1.34,1.50,0.34,10.12
t381,1.42,1.50,0.36,10.14
t382,1.51,1.50,0.39,10.16
t383,1.60,1.50,0.41,10.18
t384,1.69,1.50,0.43,10.20
t385,1.78,1.50,0.46,10.22
t386,1.87,1.50,0.48,10.24
t387,1.96,1.50,0.50,10.27
t388,2.05,1.50,0.52,10.29
t389,2.14,1.50,0.55,10.31
t390,2.23,1.50,0.57,10.33
t391,2.32,1.50,0.59,10.35
t392,2.40,1.50,0.62,10.37
t393,2.49,1.50,0.64,10.39
t394,2.58,1.50,0.66,10.42
t395,2.67,1.50,0.68,10.44
t396,2.76,1.50,0.71,10.46
t397,2.85,1.50,0.73,10.48
